nickname,teams,player_id,birth_date,country,rating
fox,"Giants, k1ck, Kinguin, OFFSET",629,1988-08-10,PRT,1.02
MUTiRiS,"SAW, k1ck, Giants",630,1994-06-27,PRT,1.0
allu,"ENCE, NIP, FaZe",695,1993-01-25,FIN,1.09
Dosia,"Gambit, HellRaisers",735,1989-12-18,RUS,0.99
oskar,"MOUZ, SINNERS, HellRaisers",798,1992-11-08,CZE,1.13
Maniac,"LDLC, Titan",823,1991-04-08,CHE,0.96
tb,"VG.CyberZen, CyberZen, ViCi",839,1992-05-12,CHN,1.03
Xizt,"NIP, fnatic",884,1992-03-06,SWE,0.98
olofmeister,"fnatic, FaZe",885,1993-04-02,SWE,1.06
BERRY,"Ambush, OPAA",921,1991-12-21,DNK,0.87
Snappi,"ENCE, Heroic, OpTic",922,1991-03-15,DNK,0.96
mou,"Gambit, K23, HellRaisers, Syman",964,1993-03-04,KAZ,1.05
KHRN,"SJ, HAVU",971,1991-03-08,FIN,0.97
SZPERO,"Wisla Krakow, Kinguin, AGO",973,1992-07-05,POL,1.0
Maikelele,"NoChance, GODSENT",1045,1992-09-01,SWE,1.01
crisby,"ALTERNATE aTTaX, EURONICS, Unicorns of Love",1064,1993-08-20,DEU,0.93
liTTle,"forZe, RuSh3D, Spartak, Enso",1088,1990-07-03,RUS,1.12
dennis,"Apeks, fnatic, NIP, GamerLegion",1146,1992-11-12,SWE,1.03
roman,"Nemiga, K29",1154,1990-08-22,BLR,0.91
hitMouse,"Nemiga, K29",1200,1991-03-12,BLR,0.92
BTN,Nexus,1206,1990-09-09,ROU,0.92
shox,"G2, Vitality, Envy",1225,1993-10-02,FRA,1.07
pNshr,"Windigo, ex-Outlaws",1278,1993-06-28,BGR,0.92
flowsicK,"Denial, Winterfox, Liquid",1328,1992-08-16,USA,0.87
Xp3,"Winterfox, Denial, ELEVATE",1331,1988-07-19,FRA,0.92
zehN,"HAVU, GODSENT, PENTA, FunPlus Phoenix",1378,1993-09-21,FIN,1.09
RUBINO,"Dignitas, Nordavind, LGB",1485,1995-02-26,NOR,0.98
Shara,"FlipSid3, spray'n'pray",1866,1994-01-19,UKR,0.91
glace,"North Academy, Tricked, Rogue, No Problem!",1883,1995-10-10,DNK,1.0
LOMME,"North Academy, Tricked, No Problem!",1889,1995-08-10,DNK,0.94
SEMPHIS,"Splyce, TSM, Complexity",1915,1990-05-14,CAN,0.99
seang@res,"Cloud9, Misfits, Echo Fox",1916,1989-10-26,USA,0.88
tonyblack,Spirit,1950,1994-11-28,RUS,0.94
Twista,"RCTIC, iGame.com, LGR",1964,1988-11-05,FIN,0.85
ap0c,"AVANT, Tainted Minds, Looking For Org, Chiefs",2007,1989-01-17,AUS,1.01
FalleN,"SK, MIBR, Luminosity",2023,1992-11-15,BRA,1.06
bondik,"HellRaisers, FlipSid3, Winstrike",2131,1994-10-11,UKR,1.02
tahsiN,"PENTA, Berzerk, KILLERFISH",2148,1992-06-02,DEU,0.96
Noktse,Isurus,2161,1994-02-09,ARG,1.06
rmn,"SAW, k1ck, Giants",2241,1993-05-06,PRT,0.99
RIZZZ,"OFFSET, Giants",2260,1994-09-23,PRT,1.0
forget,"5POWER, UYA",2292,1991-06-24,CHN,0.94
NENO,"Binary Dragons, Valiance",2299,1995-04-11,MKD,1.02
SKYTTEN,"Orbit, LGB",2398,1994-12-21,SWE,1.02
cajunb,"North, TSM, OpTic, Dignitas",2469,1991-07-07,DNK,1.05
emi,"Valiance, Binary Dragons, iNation",2476,1995-07-03,SRB,0.93
Maluk3,TeamOne,2529,1991-11-06,BRA,1.07
remix,"Liberty, Redemption POA, UNO MILLE",2544,1995-02-19,BRA,1.07
Snax,"Virtus.pro, Anonymo",2553,1994-10-11,POL,1.04
yam,"Renegades, Tainted Minds",2555,1990-03-12,AUS,1.03
Hiko,"Liquid, Rogue",2644,1991-04-04,USA,1.04
chrisJ,MOUZ,2730,1991-02-27,NLD,1.01
GuardiaN,"Natus Vincere, FaZe",2757,1992-12-23,SVK,1.11
bubble,"Windigo, E-frag.net, Fiend",2799,1993-12-06,BGR,0.99
MINISE,"PACT, PRIDE, Kinguin",2826,1995-07-15,POL,1.0
raalz,"Sprout, Lyngby Vikings, Ambush",2898,1996-02-22,DNK,0.97
flusha,fnatic,3055,1995-03-14,SWE,1.04
spyleadeR,"E-frag.net, MK, GPlay",3183,1991-11-04,BGR,1.01
LEGIJA,"BIG, MOUZ, NRG",3252,1992-01-02,DEU,0.91
quix,"Lilmix, Vexed, Publiclir.se",3329,1994-06-18,SWE,0.93
seized,Natus Vincere,3347,1996-05-05,RUS,0.97
ROBO,Nemiga,3410,1994-03-04,BLR,1.02
kinqie,"DreamEaters, Hard Legion",3459,1993-08-26,RUS,0.96
kzy,"EURONICS, ALTERNATE aTTaX, Unicorns of Love",3517,1991-03-10,DEU,0.94
DJOXiC,"Binary Dragons, iNation, Valiance",3543,1994-03-09,SRB,1.08
Polly,"LGB, London Conspiracy, Apeks",3631,1992-06-03,NOR,0.93
innocent,"Anonymo, Illuminar, CSGL",3669,1995-01-15,POL,1.0
HOLMES,Squared,3730,1993-03-09,SRB,0.96
F1KU,"lvlUP, RESISTANCE, ONYX, 4glory",3732,2004-12-01,POL,1.07
NiKo,"G2, FaZe, MOUZ",3741,1998-08-20,BIH,1.15
znajder,"GODSENT, fnatic, EURONICS",3847,1994-12-06,SWE,1.03
JW,fnatic,3849,1996-12-22,SWE,1.05
seb,"Ghost, New Identity, Bee's Money Crew",3886,1992-02-11,USA,0.97
huNter-,"G2, Valiance, Binary Dragons",3972,1997-05-14,BIH,1.12
loWel,"Movistar Riders, PENTA, MOUZ",3997,1998-11-06,ESP,1.05
Aerial,"HAVU, ENCE",4076,1994-10-12,FIN,1.11
LETN1,"Valiance, Binary Dragons, iNation, CR4ZY",4216,1994-07-08,SRB,1.02
Dav,"iNation, Squared, ONYX",4218,1993-05-13,SRB,0.91
EasTor,"Movistar Riders, OFFSET",4373,1995-08-03,ESP,1.01
dEE,"lvlUP, 4glory, Juggernauts, BLUEJAYS",4576,1997-09-07,SRB,1.07
zeff,MVP PK,4637,1990-11-26,KOR,1.0
jks,"Renegades, Complexity, 100 Thieves",4679,1997-06-16,AUS,1.07
jaxi,Nexus,4726,1995-09-13,ROU,0.99
mynio,"Wisla Krakow, Anonymo",4829,1997-01-10,POL,0.93
Xyp9x,"Astralis, TSM",4954,1997-12-26,DNK,1.02
kioShiMa,"Envy, Heretics, FaZe",4959,1995-04-24,FRA,1.01
swag,"Swole Patrol, Torqued, iBUYPOWER, Lazarus",5021,1998-09-15,USA,1.1
zende,"DenDD, Property",5045,1996-06-24,SWE,0.98
PERCY,"Secret, Sprout, Tricked",5061,1995-10-07,DNK,0.98
captainMo,"TYLOO, OneThree",5187,1990-05-28,CHN,1.03
TENZKI,"Nordavind, Dignitas",5287,1995-06-05,DNK,1.02
nkl,"E-frag.net, GPlay, MK, Orbit",5327,1995-09-17,BGR,0.9
aVN,"4glory, lvlUP, BLUEJAYS",5351,1998-06-12,SRB,0.92
xelos,"Lemondogs, Epsilon, AliGon",5373,1994-08-20,SWE,0.99
Luz,"PRIDE, Izako Boars",5385,1995-03-24,POL,0.92
byali,"Virtus.pro, AVEZ",5386,1995-11-23,POL,1.01
rallen,"Kinguin, AGO",5388,1995-10-02,POL,1.05
flashie,"GameAgents, Orgless",5440,1997-04-05,HUN,0.95
suNny,"ENCE, MOUZ, PENTA",5479,1996-08-01,FIN,1.06
kNgV-,"MIBR, INTZ",5736,1994-05-06,BRA,1.12
KILLDREAM,"AlienTech, k1ck, Giants",5792,1994-09-24,PRT,1.0
tabseN,"BIG, PENTA, MOUZ",5794,1996-05-21,DEU,1.05
tiziaN,"BIG, ALTERNATE aTTaX",5796,1997-03-24,DEU,0.96
keev,"ALTERNATE aTTaX, BIG, KILLERFISH",5799,1993-12-13,DEU,1.08
FNS,"CLG, TSM",6451,1993-09-21,CAN,0.89
arya,"Splyce, 3sUP",6453,1994-11-04,USA,0.92
OCEAN,"subtLe, SKDC, Splyce",6455,1988-10-16,CAN,0.77
PKL,"paiN, Luminosity, Wild",6593,1995-03-26,BRA,0.97
STYKO,"HellRaisers, MOUZ, GODSENT",6904,1997-03-21,SVK,1.0
HZ,"TYLOO, CyberZen, AllGamers",7016,1991-04-13,CHN,1.05
DD,"TYLOO, OneThree",7026,1996-02-09,CHN,1.07
Summer,"TYLOO, Flash",7028,1998-06-12,CHN,1.08
BnTeT,"TYLOO, Gen.G, EXTREMUM",7131,1997-02-17,IDN,1.15
Fifflaren,NIP,7147,1989-11-06,SWE,0.94
friberg,"NIP, Dignitas, Heroic",7148,1993-04-09,SWE,0.95
Pimp,"Dignitas, SK, Liquid, CPH Wolves",7154,1997-02-02,DNK,1.07
MSL,"Dignitas, North",7156,1996-06-28,DNK,0.92
Ex6TenZ,"Titan, LDLC, VeryGames, G2",7166,1991-06-18,BEL,0.94
kennyS,"G2, Envy, Titan",7167,1996-11-11,FRA,1.13
NBK-,"Envy, G2, Vitality, OG, VeryGames",7168,1995-05-14,FRA,1.02
RpK,"Vitality, Envy, Titan, G2",7169,1991-03-13,FRA,0.97
SmithZz,"G2, Titan, VeryGames, Envy, LDLC",7170,1990-02-11,FRA,0.96
strux1,"PENTA, 3DMAX, Planetkey",7214,1992-05-15,DEU,0.95
kRYSTAL,"PENTA, ALTERNATE aTTaX, GODSENT",7218,1994-10-24,DEU,0.9
xseveN,"HAVU, ENCE, iGame.com, RCTIC",7248,1996-03-18,FIN,1.0
steel,"Chaos, Ghost, Torqued",7253,1991-11-09,CAN,1.02
nex,"BIG, MOUZ",7256,1993-12-10,DEU,1.09
syrsoN,"BIG, ALTERNATE aTTaX, Sprout",7266,1997-08-04,DEU,1.09
Puls3,"Endpoint, FMESPORTS",7296,1995-03-22,GBR,0.99
apEX,"Vitality, Envy, G2, Titan",7322,1994-10-09,FRA,1.02
MICHU,"Virtus.pro, Kinguin, CSGL",7356,1998-02-21,POL,1.08
Hyper,"AGG, Vexed, Kinguin, Izako Boars",7368,1991-03-28,POL,0.96
peet,"AGG, Vexed, SEAL, eBettle",7369,1992-05-13,POL,1.0
Devilwalk,"fnatic, Epsilon",7378,1992-12-10,SWE,0.86
steel,"Movistar Riders, Luminosity, Immortals",7382,1995-05-07,BRA,0.95
zqkS,"Imperial, Yeah, Keyd",7383,1993-02-01,BRA,1.0
SOKER,"Movistar Riders, x6tence, k1ck",7388,1994-07-27,ESP,0.97
ScreaM,"Envy, G2, Titan, VeryGames",7390,1995-09-12,BEL,1.09
dupreeh,"Astralis, TSM",7398,1994-08-05,DNK,1.08
WorldEdit,"FlipSid3, pro100, Winstrike",7403,1993-12-24,RUS,1.07
ub1que,"EPG, PiTER, Preparation",7405,1993-12-15,RUS,0.94
gla1ve,"Astralis, CPH Wolves",7412,1996-11-19,DNK,0.98
Nico,"Dignitas, CPH Wolves, Western Wolves",7413,1993-10-24,DNK,1.02
smF,"CPH Wolves, Secret",7414,1993-07-25,DNK,0.96
HUNDEN,"Tricked, ALTERNATE aTTaX",7415,1992-08-12,DNK,0.81
Happy,"Envy, LDLC",7429,1993-12-25,FRA,1.06
adreN,"Liquid, Mythic",7433,1991-08-23,USA,1.0
anger,"Mythic, Winterfox, Denial, Luminosity",7438,1989-05-26,USA,0.98
Skadoodle,Cloud9,7440,1994-09-12,USA,1.06
twist,"GODSENT, fnatic, NIP",7443,1996-07-24,SWE,1.04
Inzta,"Tricked, Singularity",7463,1994-05-01,DNK,0.94
Spiidi,"Sprout, MOUZ",7499,1997-07-11,DEU,0.98
alexRr,"expert, Planetkey, DIVIZON",7508,1997-06-22,DEU,0.95
denis,"Sprout, MOUZ",7511,1996-10-28,DEU,0.95
pyth,"NIP, Vexed",7527,1995-09-09,SWE,1.0
KRIMZ,fnatic,7528,1995-08-26,SWE,1.05
SAGGERTON,"iGame.com, RCTIC, LGR",7529,1997-01-16,FIN,0.99
xartE,"SJ, HAVU, ENCE, hREDS",7537,1993-02-16,FIN,0.91
device,"Astralis, TSM",7592,1997-04-13,DNK,1.16
flamie,Natus Vincere,7594,1998-07-15,RUS,1.02
nitr0,Liquid,7687,1997-05-05,USA,1.0
robiin,"Endpoint, DenDD",7700,1996-09-11,SWE,0.99
chopper,"Spirit, Vega Squadron",7716,1998-11-28,RUS,0.97
queztone,eXtatus,7749,1997-05-27,SVK,1.02
juho,"ENCE, iGame.com",7775,1996-11-16,FIN,1.03
wayLander,"FlipSid3, pro100, Winstrike",7796,1995-05-18,RUS,0.91
spiker,"Monolith, PiTER, Empire, Rebels",7797,1995-09-14,RUS,0.89
RUSH,"Cloud9, Complexity, OpTic",7805,1995-03-04,USA,0.97
freakazoid,"Swole Patrol, Cloud9, Echo Fox",7808,1994-12-25,USA,0.99
ShahZaM,"Complexity, Misfits, Echo Fox, Conquest, OpTic",7810,1995-10-24,USA,1.08
sAw,"HAVU, iGame.com, RCTIC",7821,1993-05-08,FIN,0.9
v1c7oR,"Windigo, E-frag.net, Fiend",7834,1995-08-10,BGR,1.02
dephh,Complexity,7873,1993-12-20,GBR,0.99
fejtZ,"SMASH, ArchAngels",7910,1999-02-27,EST,1.07
gabesson,"GameAgents, volgare",7925,1991-01-16,HUN,0.97
roca,"Splyce, Echo Fox, Complexity, ELEVATE",7935,1997-08-27,USA,1.02
XANTARES,"Eternal Fire, Space Soldiers, BIG",7938,1997-04-04,TUR,1.17
dERZKIY,"K29, ANOX",7942,1997-04-21,BLR,0.95
uNdo,"Unique, Quantum Bellator Fire, Space Jam",7943,1996-08-06,BLR,0.94
dumz,"DenDD, Singularity, Manatee",7958,1997-07-15,SWE,0.95
cadiaN,"Heroic, Rogue, SK",7964,1996-11-18,DNK,1.04
larsen,"Tricked, Movistar Riders",7965,1998-09-04,DNK,0.99
DESPE,Space Soldiers,7980,1994-01-27,TUR,1.01
to1nou,"LDLC, LDLC White",7982,1996-02-14,BEL,1.01
Detrony,Bravado,7993,1992-12-21,ZAF,1.08
CRUC1AL,"Endpoint, Epsilon",7996,1998-04-24,NLD,1.07
s1mple,Natus Vincere,7998,1999-09-03,UKR,1.25
syken,"expert, EURONICS",8000,1997-07-15,DEU,0.98
Lambert,"LDLC, EnVyUs Academy",8047,1993-12-20,FRA,0.88
AZR,"Renegades, 100 Thieves, EXTREMUM",8082,1994-05-27,AUS,0.99
aizy,"North, Dignitas, FaZe",8095,1997-03-13,DNK,1.03
DavCost,"INDE IRAE, Spirit, 1WIN",8124,1997-08-05,RUS,1.04
Dimaoneshot,"Spirit, Espada",8125,1996-03-25,RUS,0.99
reltuC,CLG,8137,1990-08-02,USA,0.97
Davidp,"3DMAX, Heretics",8138,1996-05-19,BEL,1.03
maeVe,"Tricked, Escape, Reason",8150,1991-09-22,DNK,0.96
AcilioN,"Copenhagen Flames, SK, Apeks",8151,1998-06-03,DNK,0.95
rain,FaZe,8183,1996-09-24,NOR,1.03
ALEX,"LDLC, Vitality, fnatic",8184,1997-01-18,GBR,0.99
ScrunK,"ALTERNATE aTTaX, expert",8212,1996-04-24,DEU,0.88
matty,"EC Brugge, Izako Boars",8231,1997-02-21,POL,0.93
reatz,"PRIDE, Illuminar, Kinguin",8242,1996-05-16,POL,1.01
jkaem,"Apeks, Renegades, FaZe, 100 Thieves",8248,1995-06-02,NOR,1.04
CyberFocus,"Nemiga, K29, Rebels, Empire",8255,1996-05-09,BLR,1.02
balblna,"Quantum Bellator Fire, Winstrike",8294,1997-10-19,RUS,0.9
repo,"PRIDE, ESC, AGG, Vexed",8320,1998-03-18,POL,0.94
oskarish,"x-kom, Illuminar, AGO",8321,1998-08-10,POL,0.97
mouz,"Kinguin, Illuminar",8323,1997-08-27,POL,1.02
morelz,"PRIDE, Virtus.pro",8324,1995-07-28,POL,0.99
Furlan,AGO,8327,1996-04-27,POL,0.98
spaze,"PiTER, Gambit, EPG",8345,1998-07-12,RUS,1.02
jdm64,"Liquid, CLG, Envy",8346,1991-09-14,USA,1.02
hazed,"CLG, Mythic",8347,1990-08-11,USA,1.0
shroud,Cloud9,8349,1995-03-23,CAN,1.07
desi,"Winterfox, Complexity, SKDC",8350,1994-10-19,USA,1.01
jmqa,"Quantum Bellator Fire, PiTER, EPG",8368,1998-10-02,RUS,0.97
mixwell,"OpTic, Movistar Riders",8370,1997-10-01,ESP,1.09
alex,Movistar Riders,8371,1997-12-14,ESP,1.03
bodyy,"G2, DBL PONEY, LDLC",8374,1998-12-12,FRA,0.99
Kjaerbye,"North, Dignitas, Astralis",8394,1999-01-28,DNK,1.04
BENDJI,"Singularity, DenDD",8396,1997-04-05,SWE,0.99
arch,"Preparation, Spirit, Worst Players",8410,1997-01-05,UKR,0.94
dream3r,"SKADE, E-frag.net, Fiend",8412,1998-07-12,BGR,1.11
Zero,"GamerLegion, HellRaisers",8413,2000-02-08,SVK,1.0
netrick,"AGF, unknown, LPSP, Forcebuy",8422,1996-12-19,DNK,0.82
ELUSIVE,Bravado,8446,1994-12-15,ZAF,0.97
SEMINTE,"Nexus, XPC",8453,1998-02-14,ROU,0.96
Kvik,"Quantum Bellator Fire, Winstrike",8459,1997-02-03,LTU,0.96
ZEDKO,"SINNERS, eXtatus",8488,1999-09-08,CZE,0.98
fl0m,Mythic,8503,1994-02-10,USA,1.03
LeX,"Mythic, Winterfox, Luminosity",8504,1991-09-22,USA,0.88
stanislaw,"Evil Geniuses, OpTic, Complexity, Liquid",8507,1995-06-08,CAN,0.96
DAVEY,"Splyce, Mythic",8508,1997-12-28,CAN,0.98
yay,"Complexity, Orgless",8513,2000-04-08,USA,1.05
Relyks,"eUnited, Enemy, Selfless, New Identity",8517,1996-05-03,USA,1.0
NAF,"Liquid, OpTic",8520,1999-09-23,CAN,1.09
daps,"NRG, OpTic, Gen.G",8521,1994-04-03,CAN,0.88
FugLy,"NRG, Liquid, Envy",8522,1996-08-17,USA,1.01
tarik,"CLG, Evil Geniuses, Cloud9, OpTic",8523,1997-10-08,USA,1.03
smike,"spray'n'pray, pro100, ACG, eXplosive, k1ck",8526,1999-09-19,UKR,1.07
HObbit,"Gambit, Winstrike",8528,1995-12-07,KAZ,1.07
leman,AGO,8539,1998-10-01,POL,0.97
NEEX,"Izako Boars, ESC",8543,1998-05-03,POL,1.05
EXUS,"PRIDE, Izako Boars",8549,1999-11-01,POL,0.94
Attacker,"TYLOO, Flash",8552,1998-12-02,CHN,1.08
jayzaR,"Valiance, Enyoy",8555,1998-04-18,SWE,1.08
fer,"SK, MIBR, Luminosity",8564,1993-06-25,BRA,1.08
HEN1,"Immortals, FURIA, Luminosity",8565,1996-11-04,BRA,1.1
LUCAS1,"Immortals, Luminosity, MIBR, Tempo Storm",8566,1996-03-08,BRA,0.96
boltz,"Immortals, Luminosity, SK, MIBR",8568,1998-01-03,BRA,1.07
DEVIL,"LDLC, Envy, LDLC White, 3DMAX",8569,1996-08-27,FRA,0.97
GruBy,AGO,8570,1996-01-04,POL,1.01
woxic,"Eternal Fire, HellRaisers, MOUZ, DarkPassage",8574,2000-09-21,TUR,1.12
Calyx,"Space Soldiers, Eternal Fire, DarkPassage",8575,1999-03-06,TUR,1.09
ZOREE,"HAVU, iGame.com, SJ",8576,1995-03-03,FIN,1.09
Marek,"EHOME, After",8598,1995-11-18,TWN,0.96
Karsa,"Flash, OneThree, EHOME",8599,1993-01-10,CHN,0.95
advent,"ViCi, VG.CyberZen",8600,1993-03-24,CHN,0.87
zhokiNg,"ViCi, VG.CyberZen",8601,1995-08-07,CHN,1.06
aumaN,ViCi,8604,1995-07-21,CHN,1.04
somebody,TYLOO,8605,1996-05-20,CHN,1.07
es3tag,"Heroic, Tricked",8611,1997-08-05,DNK,1.01
ptr,"Bad News Bears, NRG, Complexity",8707,1991-07-02,USA,1.07
Slemmy,"Complexity, Cloud9, Selfless",8708,1992-06-04,USA,0.85
Sonic,"Bravado, Extra Salt, Cloud9",8711,2000-01-12,ZAF,1.09
DeadFox,HellRaisers,8716,1996-02-28,HUN,0.98
1uke,"Spirit Academy, HOLLYWOOD, PLINK",8724,1994-05-21,RUS,1.0
facecrack,"forZe, PiTER",8726,1995-03-06,RUS,0.99
waterfaLLZ,"Quantum Bellator Fire, PiTER, AVE, EPG",8727,1996-01-05,RUS,1.0
bodito,"Budapest Five, Salamander, Pixel, Sensei",8733,1999-11-18,HUN,0.96
autimatic,"Cloud9, Gen.G",8735,1998-04-02,USA,1.07
EliGE,Liquid,8738,1998-01-08,USA,1.09
emagine,"ORDER, Kings, Winterfox, Immunity",8744,1992-03-25,AUS,1.01
Rickeh,"ORDER, CLG, Rogue",8745,1993-11-18,AUS,1.07
SileNt,"Swole Patrol, Method, NRG",8752,1996-03-06,USA,0.94
zewsy,"Tainted Minds, Chiefs, Winterfox",8764,1998-06-09,NZL,1.04
ofnu,"Tainted Minds, Chiefs, AVANT, Winterfox",8767,1994-01-03,NZL,1.06
MoeycQ,"Immunity, Chiefs, Ground Zero, AVANT",8770,1994-08-02,AUS,1.02
USTILO,"Renegades, ORDER",8771,1995-09-21,AUS,1.03
JUGi,"Heroic, OpTic, Tricked, North",8783,1998-04-08,DNK,1.09
jR,"Vega Squadron, HellRaisers",8786,1995-05-11,UKR,1.01
mir,"Spirit, Vega Squadron, Gambit",8789,1997-10-16,RUS,1.1
hutji,Vega Squadron,8790,1997-01-07,RUS,0.93
Stewie2K,"Cloud9, Liquid",8797,1999-02-02,USA,1.01
stfN,ALTERNATE aTTaX,8800,1994-09-11,DEU,1.03
akez,"777, Apeks",8837,1993-11-14,NOR,0.92
Ryxxo,"Tricked, Singularity",8848,1998-03-04,DNK,1.08
Lukki,"Tricked, AGF, Singularity",8871,2001-12-17,DNK,0.99
gade,"North, North Academy, OpTic",8875,1996-07-16,DNK,0.99
Nodios,"Copenhagen Flames, x6tence",8891,2000-06-04,DNK,1.01
niki1,"FATE, Bpro, Outlaws",8917,1992-01-17,BGR,0.98
electroNic,"Natus Vincere, FlipSid3",8918,2000-01-10,RUS,1.09
splashske,"BOOT-d[S], HZ, BOOT, dream[S]cape",8943,2000-12-04,SGP,1.11
Benkai,"BOOT-d[S], BOOT, dream[S]cape",8944,1998-02-28,SGP,1.14
Kaze,"ViCi, Flash, MVP.karnal",8950,1995-04-16,MYS,1.19
roseau,"Recca, nxl",8951,1994-09-22,IDN,1.02
LOVEYY,"Flash, VG.CyberZen, VG.Flash",8957,1990-04-04,CHN,1.04
MiGHTYMAX,Endpoint,8983,1998-02-17,GBR,0.9
HS,"Nordavind, PENTA",8994,1998-05-20,EST,1.02
JUST,"SAW, OFFSET",8998,1997-06-21,PRT,1.03
FANAT ROCKA,"Unique, Quantum Bellator Fire, Space Jam",9008,1993-02-06,RUS,1.02
MAiNLiNE,"Enemy, Selfless, eUnited, Method",9017,1997-07-24,USA,0.89
Surreal,"Endpoint, Epsilon, Complexity",9019,1997-08-11,GBR,0.96
valde,"North, OG, Heroic",9031,1996-05-18,DNK,1.09
Magisk,"Astralis, SK, Dignitas",9032,1999-07-25,DNK,1.08
ryx,"Echo Fox, Splyce, Ghost, Dignitas, Tempo Storm, Conquest",9042,1994-01-24,USA,1.09
ANDROID,"Complexity, Envy",9043,1995-11-13,CAN,1.04
Uber,"Enemy, Complexity, Selfless",9053,1998-04-11,CAN,0.96
koosta,"CLG, Ghost, Gen.G, Enemy",9056,1997-05-23,USA,1.06
Nifty,"Renegades, Envy, Selfless",9069,1999-05-08,USA,1.01
k0nfig,"Dignitas, OpTic, Complexity, North",9078,1998-10-08,DNK,1.08
S0tF1k,"Spirit, Espada",9081,1996-06-08,RUS,0.92
COLDYY1,Spirit,9083,1993-10-09,UKR,1.06
Sico,"ORDER, Renegades, Grayhound, Kings",9102,1996-09-05,NZL,1.15
rbz,"Paradox, Corvidae",9103,1995-08-05,AUS,0.99
DANZ,"Corvidae, Kanga, AVANT",9104,1995-09-15,AUS,0.93
tucks,Chiefs,9108,1998-08-26,AUS,1.06
dexter,"MOUZ, Grayhound, Renegades",9115,1996-03-11,AUS,1.08
Drone,"Splyce, Envy",9130,1999-01-17,USA,0.99
Brehze,"Evil Geniuses, NRG",9136,1999-09-05,USA,1.1
XigN,"NKT, MVP PK, MVP Project",9172,1998-01-19,KOR,1.14
HSK,"MVP PK, MVP Project, GOSU",9174,1996-01-21,KOR,1.04
coldzera,"SK, FaZe, Luminosity, MIBR",9216,1996-03-23,BRA,1.15
TACO,"SK, MIBR, GODSENT, Liquid, Luminosity",9217,1996-11-10,BRA,0.92
xand,"INTZ, Yeah",9218,1996-08-10,BRA,1.07
felps,"SK, GODSENT, Immortals, Tempo Storm",9219,1998-03-19,BRA,1.08
SHOOWTiME,"Luminosity, Imperial, Tempo Storm",9220,1998-12-08,BRA,0.98
reversive,"Leviatan, Isurus",9221,1993-10-06,ARG,0.99
Tsogoo,"TheMongolz, Mazaalai",9245,1995-09-03,MNG,1.0
Machinegun,"TheMongolz, Mazaalai",9247,1991-04-23,MNG,1.08
mopoz,Movistar Riders,9254,1998-11-11,ESP,1.0
draken,"Epsilon, NIP, Red Reserve",9255,1997-09-09,SWE,1.08
disco doplan,"GODSENT, Epsilon, Galaxy Racer, Red Reserve",9256,1997-07-28,SWE,1.02
freddieb,"Epsilon, GODSENT, Red Reserve",9257,1995-03-14,SWE,0.99
SicK,"Rogue, Misfits, TSM",9258,2000-10-18,USA,1.05
vice,"Rogue, Cloud9",9260,1997-09-12,USA,1.0
Lekr0,"NIP, Dignitas, fnatic, GODSENT",9261,1994-08-09,SWE,1.01
